"City","Location","Building","Floor","Room","Department"
"","","","","2500","nutrition"
"","","","","2500 MI reception","Nutrition"
"","","","","2500A","Nutrition Services"
"","","","","2500b","Occupational Therapy"
"","","","","2500C","Occupational Therapy CR"
"","","","","2500C (Reception Call Center)","Operating Room"
"","","","","2506","Operating room"
"","","","","2509","OR"
"","","","","2509A","Ortho"
"","","","","251","orthopedics"
"","","","","2512A","Orthopedics"
"","","","","2513","Orthopedic-trauma"
"","","","","2514a","OS Agency VHF-Misc Billing"
"","","","","2515","Ostomy Care Centre"
"","","","","2517","Outpatient Physiotherapy"
"","","","","2517 -viewing Area","Pac Ctr PCN Allied Tm HUB"
"","","","","2517A","Pacemaker Clinic"
"","","","","2518","PACS"
"","","","","2519","PACU"
"","","","","2523 (Hallway)","PACU Nursing Station"
"","","","","2524","Paediatric I/P Unit"
"","","","","2526","Paediatrics"
"","","","","2527A","Panama"
"","","","","2527a","Parking"
"","","","","2527b","Patient & Material Logistics"
"","","","","2528","Patient Placement"
"","","","","2528 - medical imaging","Patient Registration"
"","","","","2529","Patient Transport"
"","","","","2530","Pediatric Amb Clinic"
"","","","","2531","Pediatric Amb Programs"
"","","","","2532","Pediatric Day Care"
"","","","","2534","pediatric daycare/pediatric echo"
"","","","","2535","Pediatric SDC"
"","","","","2535a","Pediatrics"
"","","","","2536","Pediatrics SDC"
"","","","","2537","Peer support"
"","","","","2541","Perinatal Ambulat Clinic"
"","","","","2541B","Perinatal Ambulatory Clinic"
"","","","","2542A","PH Immun COVID 19"
"","","","","2543","Pharmacy"
"","","","","2544","Pharmacy Central Prod & Dist"
"","","","","2547","Pharmacy Clinical"
"","","","","2547 MRI Tech Area","Pharmacy Clinical Services"
"","","","","2547B","Pharmacy Residents"
"","","","","2548","Pharmacy SI Clinical"
"","","","","2554","PHE Priory"
"","","","","2564","PHN Esquimalt"
"","","","","2566","PHN Western Communities"
"","","","","2569","PHV COVID19 Contact Tracer"
"","","","","257","PHV Indigenous Health Admin"
"","","","","2570","Physician Contracts"
"","","","","2570 adjacent","Physician Dictation"
"","","","","2574","Physio"
"","","","","2574B","Physiotherapy"
"","","","","2575","PICU"
"","","","","26","placeholder"
"","","","","27","Plant Maint Electrical"
"","","","","2700","Porters"
"","","","","2700A","Post Anaesthetic Care Unit"
"","","","","2701","Post partum"
"","","","","2702","Post Partum"
"","","","","2703","Postpartum"
"","","","","2704","postpartum\neonatal"
"","","","","2706","Prim Care Pods St Anthonys"
"","","","","2708","Printing Services"
"","","","","2710","Priory"
"","","","","2713","Professional Practice Team A"
"","","","","2800 (ED Security Office)","Protection Services"
"","","","","2810","Protection services"
"","","","","2812","Protection Svcs Admin"
"","","","","2813","Public health"
"","","","","2814A","Public Health"
"","","","","2814B","Public Heealth"
"","","","","2814C","Quality"
"","","","","2815","Records"
"","","","","2835","Region 4 Scheduling Victoria"
"","","","","2835 - ED Admitting","Regionl PreAnalytics Technical"
"","","","","2835 D - Doc box PACS","Rehab"
"","","","","2835B","Rehabilitation"
"","","","","2835D","Rehabilitation Services"
"","","","","2835D docbox 7","Rehabilitation Therapy Svcs"
"","","","","284A","Resp Diag Clerical Support"
"","","","","284a","Resp Therapy/Diag/Home Oxygen"
"","","","","2850B","Respiratory Therapy"
"","","","","2856A","Respiratory therapy"
"","","","","2856B","RJH Emergency Services"
"","","","","2857","RJH Speech Therapy"
"","","","","2864","RJH/Regional Laboratory"
"","","","","2864 (Control Room Whiteboard)","RJH/SPH/LMH Medical Imaging"
"","","","","2864 (Control Room)","Sateline office -QAc"
"","","","","2884","Satellite office -QAC"
"","","","","29","Satellite office- QAC"
"","","","","2900","Sayward Nurse Practitioner"
"","","","","2901","Scheduling"
"","","","","2901A","SDC"
"","","","","2902","SDC OR"
"","","","","2903","SDC-PACU"
"","","","","2904A","Security"
"","","","","2904B","Senior OP Clinic"
"","","","","2905A","Seven Oaks"
"","","","","2905B","SI Access and Addictions"
"","","","","2908","SI Admin Support"
"","","","","2912","SI Diabetes and Nutrition"
"","","","","2912 Outpatient Rehab","SI Liaison"
"","","","","2914","SI Regional Laundry"
"","","","","2915","SI Surg Centre OR"
"","","","","2916","SI Surg Centre PACU"
"","","","","2917","SISC"
"","","","","2919","Social services"
"","","","","2919 (Therapy Office - Right Side)","Social Work"
"","","","","2920","Sooke IHN and Westshore ADP"
"","","","","2922","South 4A GI/MSS"
"","","","","2923","South 4B Gen Medicine"
"","","","","2923 (Outpatient Neuro Rehab Depo)","Speech Therapy"
"","","","","2924","SPH/VGH Laboratory"
"","","","","2931","Spiritual Health"
"","","","","2933","SRAU"
"","","","","2937","Stores"
"","","","","2938","Strategic Cont Qlty Improv"
"","","","","2939","Stroke Rapid Assessment"
"","","","","2940","Support"
"","","","","2943","Support staff"
"","","","","2944","Surgical Day Care"
"","","","","2952 -WFH","Surgical Day Care (SDC)"
"","","","","2958","Surgical Day Care Paeds"
"","","","","2972","Surgical Quality"
"","","","","2nd Floor PACU","TBA"
"","","","","3","Telemetry"
"","","","","30","Theraphy"
"","","","","3001/biomedical engineering","Therapy"
"","","","","301N","Therapy- Physio"
"","","","","302","Therapy services"
"","","","","3050A","Timekeeping"
"","","","","3050B","Trauma"
"","","","","31","Ultrasound"
"","","","","3100","UMAC"
"","","","","3100 - NICU","unknown"
"","","","","3100 (Reception)","Urology ENT/OMS"
"","","","","3100A","VGH Adult ICU and HAU"
"","","","","3107","VGH General Surgery"
"","","","","3107 by NICU","VGH Material Porters"
"","","","","3108","VGH Med South & Social Work"
"","","","","3110","VGH Neurosciences"
"","","","","3110 Hallway","VGH OR/Anaesthetic Services"
"","","","","3111","VGH Orthopedics"
"","","","","3113","VGH PACU/SDC"
"","","","","32","VGH Patient Flow"
"","","","","32 station 35","VGH Pharmacy Clinical"
"","","","","320","VGH Stroke Rapid Assessment"
"","","","","320 Pre Admissions","VGH/IUS/Inter Medical Imaging"
"","","","","320 Pre-admissions","Volunteers"
"","","","","320 Pre-admissions- Anesthesia-2","VRS SI Surg Centre OR"
"","","","","320 Pre-admissions- Manager Office-7","Westshore Primary Care Network"
"","","","","320 Pre-admissions- Nursing 6","Westshore Urgent Care"
"","","","","320 Pre-admissions- Pharmacy-3","Westshore Urgent Care Centre"
"","","","","320 Pre-admissions-Nursing -4","WFH"
"","","","","3201","WFH - Parking"
"","","","","3202 - midwives","Womens Health"
"","","","","3204?","Women's Health"
"","","","","3205","Women's health"
"","","","","3209","WSUPCC"
"","","","","3210","WUPCC"
"","","","","3213","Youth Addictions Treatment"
