"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_retired_date","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group"
"LD080939","HSS-1046045","F57WCW3","VIHA-Remote-Work From Home","","WFH","WFH","WFH","REQ1259911-RITM1328127-SCTASK2137197","","","Excluded","WFH",""
"LD067617","HSS-1046050","72KPCW3","VIHA-Quathiaski Cove","Quathiaski Cove","WFH","WFH","WFH","REQ1268854-RITM1337765-SCTASK2140258","","04/12/2024","Excluded","Quathiaski Cove - WFH",""
"LD085989","HSS-1046108","GDZSCW3","VIHA-Remote-Work From Home","","EMP","173","","REQ1264303-RITM1332898-SCTASK2147698","","","General Rounding","",""
"LD086087","HSS-1046676","GVFQCW3","VIHA-Remote-Work From Home","","WFH","WFH","WFH","REQ1310559-RITM1382122-SCTASK2215544","","","Excluded","WFH",""
"LD086123","HSS-1046735","JJSQCW3","VIHA-Remote-Work From Home","","WFH","WFH","WFH","REQ1323755-RITM1396083-SCTASK2243525","","","Excluded","WFH",""
"LD086124","HSS-1046747","76MQCW3","VIHA-Remote-Work From Home","","","","","REQ1327401-RITM1399938-SCTASK2245288","","","General Rounding","",""
"LD102371","HSS-1047105","5H8QCW3","VIHA-Victoria","Victoria","VIHA","WFH","WFH","REQ1360763-RITM1435269-SCTASK2306286","","","Excluded","",""
"LD091162","HSS-1047598","9FKRCW3","VIHA-Remote-Work From Home","","WFH","WFH","WFH","REQ1423880-RITM1502087-SCTASK2412870","","","Excluded","WFH",""
"LD086340","HSS-1047711","CGXHVW3","VIHA-Remote-Work From Home","","WFH","WFH","WFH","REQ1453025-RITM1532825-SCTASK2463260","","","Excluded","WFH",""
"LD068494","HSS-1047889","B8FHVW3","VIHA-Remote-Work From Home","","","WFH","","REQ1455300-RITM1535349-SCTASK2467360","","","Excluded","COV Nurse Patient Ratios",""
"LD068500","HSS-1047894","C6FHVW3","VIHA-Remote-Work From Home","","","Admin","","REQ1455294-RITM1535343-SCTASK2467366","","","General Rounding","",""
"LD068502","HSS-1047896","DT2JVW3","VIHA-Remote-Work From Home","","Patient Care Center","Admin","7th Floor","REQ1455290-RITM1535339-SCTASK2467368","","","General Rounding","RJH Gen Surg & Wound Care 7S",""
"LD093101","HSS-1048893","82HWVH3","VIHA-Remote-Work From Home","","Campbell River Hospital","CR0223 WFH","0","REQ1559598-RITM1645555-SCTASK2651237","","05/04/2026","Excluded","Pharmacy",""
"LD056178","HSS-1049006","JGSWVH3","VIHA-Remote-Work From Home","","Admin Building","BH107","1","REQ1569309-RITM1655804-SCTASK2661206","","","General Rounding","",""
"PC080291","HSS-1049031","5GJJZ44","VIHA-Remote-Work From Home","","","","","REQ1558474-RITM1644323-SCTASK2665265","","","General Rounding","",""
"LD081246","HSS-1049032","51FWVH3","VIHA-Remote-Work From Home","","","","","REQ1558456-RITM1644295-SCTASK2667814","","","General Rounding","",""
"LD091751","HSS-1049746","4GR2WH3","VIHA-Remote-Work From Home","","Memorial Pavilion","HW-134","","REQ1636693-RITM1727251-SCTASK2772227","","","General Rounding","",""
"LD104943","HSS-1110664","62WHX64","VIHA-Remote-Work From Home","","","WFH","","REQ1700446-RITM1794719-SCTASK2880592","","","Excluded","",""
"LD074999","HSS-1940006","CCTN774","VIHA-Remote-Work From Home","","EMP","323","3","DMND0005295","","","General Rounding","",""
"LD046336","HSS-1964305","FN3SN53","VIHA-FRMC-Fort Royal Medical Centre","","","161","","DMND0002340-COVID19W-06-0062","","02/05/2024","General Rounding","AMSU",""
"LD059427","HSS-1973569","2M626G3","Island Health","","","WB3","","DMND0003213","","03/08/2023","Excluded"," ",""
"LD041654","HSS-6001384","PC1CZEGR","Island Health","","PCC","N206","2","","","05/21/2025","General Rounding","Adult Mental Health",""
"LD030959dup","HSS-8001546","PB02G80N","","","","","","","","","Excluded","",""
"LD065122","HSS-8022265","3D42BC3","VIHA-Campbell River","Campbell River","WFH","WFH","WFH","VIHATRP20210614-038","","","Excluded","WFH",""
"LD065095","HSS-8024231","DXRZ3D3","VIHA-FRMC-Fort Royal Medical Centre-Main Building-4th Floor","","","430","","VIHATRP20210913-039","","","General Rounding","",""
"LD024243","HSS-8026292","827Q6G3","VIHA-Remote-Work From Home","","WFH","WFH","WFH","VIHATRP20220124-016","","01/28/2024","Excluded","WFH",""
"LD021662","HSS-8059945","B8L3NN3","VIHA-Remote-Work From Home","","CRG","WFH","WFH","VIHATRP20220718-052","","05/17/2023","Excluded","Pharmacy  - WFH",""
"LD107452","HSS-8066384","49W1NN3","VIHA-Remote-Work From Home","","MP","KW310","3","REQ2154148-RITM2276040-SCTASK3663849","","","","",""
"LD021281","HSS-8067608","1GNGMN3","VIHA-Remote-Work From Home","","","KW-335","","VIHATRP20221017-068","","01/30/2023","General Rounding","",""
"LD107120","HSS-8070321","2T92NN3","VIHA-Remote-Work From Home","","Memorial Pavilion","KW310","3","REQ2112197-RITM2231548-SCTASK3583536","","","Excluded","",""
"LD033779","HSS-8071529","9GDFLN3","VIHA-Unknown-Location","","","318","","VIHATRP20230130-095","","","General Rounding","",""
"LD036698","HSS-8073080","4DZ1GK3","VIHA-FRMC-Fort Royal Medical Centre-Main Building-4th Floor","","Main Building","415","4","VIHATRP20230320-025","","","General Rounding","",""
"PC044583","HSS-8073317","H3RMPR3","VIHA-NMHAS-Nanaimo Mental Health & Addiction Services-Main Building-1st Floor","","Main Building","10","1","VIHATRP20230327-092","","","General Rounding","Mental Health",""
"PC033480","HSS-8073318","F4XKPR3","VIHA-NMHAS-Nanaimo Mental Health & Addiction Services-Main Building-1st Floor","","Main Building","13","1","VIHATRP20230327-093","","","General Rounding","Mental Health",""
"LD107400","HSS-8076892","5RPY4X3","VIHA-Remote-Work From Home","","Memorial Pavilion","KW310","3","REQ2160681-RITM2283012-SCTASK3647007","","","Excluded","",""
"LD107096","HSS-8076905","23PY4X3","VIHA-Remote-Work From Home","","South tower","S257","2","REQ2111916-RITM2231265-SCTASK3578944","","","","General Medicine",""
"LD107010","HSS-8076911","2TLY4X3","VIHA-Remote-Work From Home","","MP","KW310","3","REQ2098699-RITM2217180-SCTASK3557368","","","","",""
"LD040237","HSS-8077535","BQMY4X3","VIHA-Comox","Comox","Main","1066","1","VIHATRP20230821-009","","03/31/2026","Location Not Active","Collaboration",""
"LD107152","HSS-8077906","2PTP5X3","VIHA-Remote-Work From Home","","MP","KW310","3","REQ2123767-RITM2243946-SCTASK3590633","","","","",""
"LD107256","HSS-8078330","1LMJ5X3","VIHA-Remote-Work From Home","","MP","KW310","3","REQ2119921-RITM2239788-SCTASK3617318","","","","",""
"TD001002","HSS-8082811","70DNSV3","VIHA-Remote-Work From Home","","Memorial Pavilion","KW310","3","REQ2093852-RITM2212047-SCTASK3544024","","","","",""
"PC029219","HSS-8092285","3FFCQ54","VIHA-Remote-Work From Home","","Main Building","Sayward Primary Healthcare Cen","1st Floor","VIHATRP20250210-014","","","General Rounding","CVH Minor Day Procedures",""
"LD046624","HSS-8092625","JWL2WH3","VIHA-Remote-Work From Home","","CRMHAS","WFH","WFH","VIHATRP20250317-032","","03/11/2026","Excluded","CRMHAS",""
"LD055818","HSS-8093049","CVTHX64","VIHA-Remote-Work From Home","","WFH","WFH","WFH","ISLHTRP20250414-020","","","Excluded","Campbell River Hospital Level 0 Admin Office (WFH)",""
"LD037329","HSS-8095980","8S0JX64","VIHA-Campbell River","Campbell River","Main Building","WFH","WFH","ISLHTRP20250929-010","","","Excluded","Human Resources - WFH",""
"LD107195","HSS-8096199","PF586H25","VIHA-Remote-Work From Home","","WFH","WFH","WFH","REQ2119721-RITM2239529-SCTASK3600396","","","Excluded","Employee Records-Nanaimo",""
"PC032041","HSS-8096472","CQVHZ44","VIHA-NMHAS-Nanaimo Mental Health & Addiction Services-Main Building","","Main Building","2","","ISLHTRP20251110-030","","","General Rounding","Mental Health & Addiction Services-3151 Barons Road, Nanaimo, V9T5W5",""
"LD032568","HSS-8096824","PF5X4L0K","VIHA-NMHAS-Nanaimo Mental Health & Addiction Services-Main Building","","Main Building","Room 15","1","ISLHTRP20251215-045","","","General Rounding","SUC Substance Use Services",""
"LD071196","HSS-8096986","PF586CD8","VIHA-Remote-Work From Home","","WFH","","","ISLHTRP20260105-053","","","General Rounding","Mental Health & Addiction Services",""
"LD059551","HSS-8097070","PF5X23EA","VIHA-Remote-Work From Home","","","","","ISLHTRP20260112-076","","","General Rounding","",""
