"City","Location","Building","Floor","Room","Department"
"","","","","127",""
"","","","","127 (W30)",""
"","","","","127 (W31)",""
"","","","","128",""
"","","","","128 (Medications)",""
"","","","","128 (W32)",""
"","","","","129",""
"","","","","129 (Cabinet in hall - HSS 1)",""
"","","","","129 (Cabinet in Hall - HSS 2)",""
"","","","","129 (Cabinet in Hall - HSS 3)",""
"","","","","129 (Cabinet in Hall - HSS 4)",""
"","","","","129 (Cabinet in Hall - HSS 5)",""
"","","","","129 (W33) Erica McKendry",""
"","","","","129 (Waiting Room)",""
"","","","","13 (.Lisa Horvath - Admin Lead)",""
"","","","","13 (file cabinet)",""
"","","","","130 (Laboratory)",""
"","","","","131 - Floor for storage",""
"","","","","131 (Elyse Laughland) (Temporary in this room)",""
"","","","","131 (W34) - Rhonda Soldera",""
"","","","","132 (Check in Records)",""
"","","","","132 (W9) - Breakout Room",""
"","","","","133",""
"","","","","133 - Office",""
"","","","","133 - Xray room",""
"","","","","133 (Medical Imaging)",""
"","","","","133 (W37)",""
"","","","","133 (W38)",""
"","","","","134",""
"","","","","134 (Medical Imaging)",""
"","","","","134 (W39)",""
"","","","","135",""
"","","","","135 (Emergency Room - Urgent Care)",""
"","","","","135 (W40)",""
"","","","","136 (Exam Room 1)",""
"","","","","136 (W2)",""
"","","","","136 (W3)",""
"","","","","136a (Exam Room 2)",""
"","","","","137 (Exam Room 3)",""
"","","","","137 (W10)",""
"","","","","137 (W11)",""
"","","","","137 (W12)",""
"","","","","137 (W13)",""
"","","","","137 (W14)",""
"","","","","137 (W15)",""
"","","","","137 (W16)",""
"","","","","137 (W17)",""
"","","","","137 (W4)",""
"","","","","137 (W5)",""
"","","","","137 (W6)",""
"","","","","137 (W7)",""
"","","","","137 (W8)",""
"","","","","138",""
"","","","","138 (Exam Room 4)",""
"","","","","138 (W18)",""
"","","","","138 (W19)",""
"","","","","138 (W20)",""
"","","","","138 (W21)",""
"","","","","138 (W22)",""
"","","","","139 (Exam Room 5)",""
"","","","","139 (W23)",""
"","","","","139 (W24)",""
"","","","","139 (W25)",""
"","","","","139 (W27)",""
"","","","","13a",""
"","","","","14",""
"","","","","140 (Exam Room 6)",""
"","","","","141 (Exam Room 7)",""
"","","","","142 (Exam Room 8)",""
"","","","","145 (ER/ACU - Physio Gym)",""
"","","","","15",""
"","","","","153 (ACU - Ante Room)",""
"","","","","16",""
"","","","","16 (Fernanda Gutierrez - WFH sometimes)",""
"","","","","163 (TBD)",""
"","","","","17",""
"","","","","17 (Administration)",""
"","","","","172",""
"","","","","175",""
"","","","","19",""
"","","","","19 (Desk A - Rhonda)",""
"","","","","192 (CNE)",""
"","","","","193 (CNE)",""
"","","","","194 (Trauma)",""
"","","","","195 (Trauma Room / OR)",""
"","","","","1N (Main Nurse Desk)",""
"","","","","1N (Main Nurse Desk)(7/24)",""
"","","","","1N (OR1)",""
"","","","","1N (OR1)(CADI)",""
"","","","","1N (OR2)",""
"","","","","1N (OR4)",""
"","","","","1st admin trailer",""
"","","","","1st FL Office",""
"","","","","2",""
"","","","","2 (Mark's Office)",""
"","","","","2 (NOT FOUND)",""
"","","","","2(CN)",""
"","","","","20",""
"","","","","20 (Bonnie Potter)",""
"","","","","201",""
"","","","","201 - (Admin Section A)",""
"","","","","201 - (in storage)",""
"","","","","201 - Office 2 (Section A)",""
"","","","","201 Office 1 (Section A)",""
"","","","","2011 (2-South)",""
"","","","","202",""
"","","","","202 - Chart (Section C)",""
"","","","","202 - Office 5 (Section C)",""
"","","","","202 - Office 6 (Section C)",""
"","","","","202 - Reception (Section C)",""
"","","","","202 (W152)",""
"","","","","203",""
"","","","","203 c/o Melissa Manson",""
"","","","","2031 (Back Room TV)",""
"","","","","2031 (Nurse Station - Back Office TV)",""
"","","","","2031 (Nurse Station - Back Office)",""
"","","","","2032 (Nurse Station - Bat Cave)",""
"","","","","2035 (ICU Patient Lounge)",""
"","","","","204 - 0 (Group Room)",""
"","","","","204 - 3 (Section B)",""
"","","","","204 - 4 (Section B)",""
"","","","","2043 (2nd Floor Day Room)",""
"","","","","2043 (2nd Floor Day Room)(Spare)",""
"","","","","2044",""
"","","","","2044 (Tub Room)",""
"","","","","205",""
"","","","","2055A (Maternity Clinic)",""
"","","","","2055B (Maternity Clinic)",""
"","","","","2055C (Maternity Clinic)",""
"","","","","2062 (Assessment Room #2)",""
"","","","","2064 (Back Office)",""
"","","","","2065 (Nursery - Fetalink on wall)",""
"","","","","2065 (Nursery - Monitoring Board On Wall)",""
"","","","","2065 (Nursery)",""
"","","","","2066 (Assessment Room #1)",""
"","","","","2067 (Birthing Room #1)",""
"","","","","2067 (Birthing Room #2)",""
"","","","","2067 (Birthing Room 3 - PARR)",""
"","","","","207",""
"","","","","208",""
"","","","","2083 (Nikki Kokkinis)",""
"","","","","2084 (Christine S)",""
"","","","","2084 (Roshni)",""
"","","","","209",""
"","","","","21",""
"","","","","21 (Megan)",""
"","","","","211",""
"","","","","212",""
"","","","","212 - Jonathan Noakes",""
"","","","","213",""
"","","","","214",""
"","","","","215",""
"","","","","216",""
"","","","","217",""
"","","","","217 (W127) Geraldine Blair-Speirs",""
"","","","","218 (W128) WFH - Corry Pettigrew",""
"","","","","219",""
"","","","","219 - Not Found",""
"","","","","219 (W129)",""
"","","","","21A()",""
"","","","","21b",""
"","","","","22",""
"","","","","22 (Desk B - )",""
"","","","","220 (574 Cornation Street - HSS 6)",""
"","","","","220 (574 Cornation Street)",""
"","","","","220 (W130) Anna Forrest",""
"","","","","221()",""
"","","","","221B (Home Care Nursing)",""
"","","","","221B (Home Care Nursing)(CN)",""
"","","","","221B()",""
"","","","","222",""
"","","","","222 (Home Care Nursing)",""
"","","","","222 (Home Care Nursing)(CN)",""
"","","","","223 (W137)",""
"","","","","223 (W138)",""
"","","","","223 (W146)",""
"","","","","223 (W147)",""
"","","","","224",""
"","","","","224 (Home Care Nursing)",""
"","","","","225",""
"","","","","225 (Home Care Nursing)",""
"","","","","226",""
"","","","","227",""
"","","","","23",""
"","","","","23 (Aimee)",""
"","","","","24",""
"","","","","25",""
"","","","","251 (W105) Reception",""
"","","","","252 (W106 - side desk)",""
"","","","","252 (W106)",""
"","","","","252 (W107)",""
"","","","","253 (W108)",""
"","","","","253 (W109) - Alison Gardner",""
"","","","","254 (W110)",""
"","","","","254 (W111)",""
"","","","","255 (W112)",""
"","","","","256 (W113)",""
"","","","","257 (W118)",""
"","","","","257 (W119)",""
"","","","","258",""
